CODIGO COMUNA;NOMBRE COMUNA;REGION;NOMBRE REGIÓN 
01101;Iquique;1;TARAPACÁ
01107;Alto Hospicio;1;TARAPACÁ
01401;Pozo Almonte;1;TARAPACÁ
01402;Camiña;1;TARAPACÁ
01403;Colchane;1;TARAPACÁ
01404;Huara;1;TARAPACÁ
01405;Pica;1;TARAPACÁ
02101;Antofagasta;2;ANTOFAGASTA
02102;Mejillones;2;ANTOFAGASTA
02103;Sierra Gorda;2;ANTOFAGASTA
02104;Taltal;2;ANTOFAGASTA
02201;Calama;2;ANTOFAGASTA
02202;Ollague;2;ANTOFAGASTA
02203;San Pedro de Atacama;2;ANTOFAGASTA
02301;Tocopilla;2;ANTOFAGASTA
02302;María Elena;2;ANTOFAGASTA
03101;Copiapó;3;ATACAMA
03102;Caldera;3;ATACAMA
03103;Tierra Amarilla;3;ATACAMA
03201;Chañaral;3;ATACAMA
03202;Diego de Almagro;3;ATACAMA
03301;Vallenar;3;ATACAMA
03302;Alto del Carmen;3;ATACAMA
03303;Freirina;3;ATACAMA
03304;Huasco;3;ATACAMA
04101;La Serena;4;COQUIMBO
04102;Coquimbo;4;COQUIMBO
04103;Andacollo;4;COQUIMBO
04104;La Higuera;4;COQUIMBO
04105;Paihuano;4;COQUIMBO
04106;Vicuña;4;COQUIMBO
04201;Illapel;4;COQUIMBO
04202;Canela;4;COQUIMBO
04203;Los Vilos;4;COQUIMBO
04204;Salamanca;4;COQUIMBO
04301;Ovalle;4;COQUIMBO
04302;Combarbalá;4;COQUIMBO
04303;Monte Patria;4;COQUIMBO
04304;Punitaqui;4;COQUIMBO
04305;Río Hurtado;4;COQUIMBO
05101;Valparaíso;5;VALPARAISO
05102;Casablanca;5;VALPARAISO
05103;Concón;5;VALPARAISO
05104;Juan Fernández;5;VALPARAISO
05105;Puchuncaví;5;VALPARAISO
05107;Quintero;5;VALPARAISO
05109;Viña del Mar;5;VALPARAISO
05201;Isla de Pascua;5;VALPARAISO
05301;Los Andes;5;VALPARAISO
05302;Calle Larga;5;VALPARAISO
05303;Rinconada;5;VALPARAISO
05304;San Esteban;5;VALPARAISO
05401;La Ligua;5;VALPARAISO
05402;Cabildo;5;VALPARAISO
05403;Papudo;5;VALPARAISO
05404;Petorca;5;VALPARAISO
05405;Zapallar;5;VALPARAISO
05501;Quillota;5;VALPARAISO
05502;Calera;5;VALPARAISO
05503;Hijuelas;5;VALPARAISO
05504;La Cruz;5;VALPARAISO
05506;Nogales;5;VALPARAISO
05601;San Antonio;5;VALPARAISO
05602;Algarrobo;5;VALPARAISO
05603;Cartagena;5;VALPARAISO
05604;El Quisco;5;VALPARAISO
05605;El Tabo;5;VALPARAISO
05606;Santo Domingo;5;VALPARAISO
05701;San Felipe;5;VALPARAISO
05702;Catemu;5;VALPARAISO
05703;Llay Llay;5;VALPARAISO
