sucursal_nombre;direccion_sucursal;comuna_nombre;lugar_nombre;tipo_lugar;capacidad_personas;precio;descuento_socio_evento;tipo_precio;dia_semana;hora_inicio;hora_termino;fecha_inicio_vigencia;fecha_fin_vigencia;registro_incorrecto;tipo_error
Santiago Centro;Av Alameda 900;Santiago;mesa1_restaurant1;restaurant;4;;;mesa_hora;sabado;10:00;23:00;10/4/24;24/4/24;NO;
Santiago Centro;Av Alameda 900;Santiago;mesa2_restaurant1;restaurant;4;;;mesa_hora;jueves;10:00;23:00;18/10/24;1/11/24;NO;
Santiago Centro;Av Alameda 900;Santiago;mesa3_restaurant1;restaurant;4;nueve mil;;mesa_hora;miercoles;10:00;23:00;30/1/25;1/3/25;SI;precio
Santiago Centro;Av Alameda 900;Santiago;mesa4_restaurant1;restaurant;4;;;mesa_hora;jueves;10:00;23:00;2024-07;6/8/24;SI;fecha
Santiago Centro;Av Alameda 900;Santiago;mesa5_restaurant1;restaurant;4;;;mesa_hora;martes;10:00;23:00;24/9/24;1/10/24;NO;
Santiago Centro;Av Alameda 900;Santiago;mesa6_restaurant1;restaurant;4;;;mesa_hora;lunes;10:00;23:00;25/4/25;24/7/25;NO;
Santiago Centro;Av Alameda 900;Santiago;mesa7_restaurant1;restaurant;4;;;mesa_hora;viernes;10:00;23:00;12/8/25;26/8/25;NO;
Santiago Centro;Av Alameda 900;Santiago;mesa8_restaurant1;restaurant;4;;;mesa_hora;miercoles;10:00;23:00;5/5/25;19/5/25;NO;
Santiago Centro;Av Alameda 900;Santiago;mesa1_restaurant2;restaurant;4;;;mesa_hora;domingo;10:00;23:00;11/1/24;10/4/24;NO;
Santiago Centro;Av Alameda 900;Santiago;mesa2_restaurant2;restaurant;4;;;mesa_hora;domingo;10:00;23:00;21/6/24;20/8/24;NO;
Santiago Centro;Av Alameda 900;Santiago;mesa3_restaurant2;restaurant;4;;;mesa_hora;domingo;10:00;23:00;20/9/24;19/11/24;NO;
Santiago Centro;Av Alameda 900;Santiago;mesa4_restaurant2;restaurant;4;;;mesa_hora;viernes;10:00;23:00;30/1/24;6/2/24;NO;
Santiago Centro;Av Alameda 900;Santiago;mesa5_restaurant2;restaurant;4;;;mesa_hora;sabado;10:00;23:00;9/6/25;23/6/25;NO;
Santiago Centro;Av Alameda 900;Santiago;mesa6_restaurant2;restaurant;4;;;mesa_hora;domingo;10:00;23:00;25/1/25;25/4/25;NO;
Santiago Centro;Av Alameda 900;Santiago;mesa7_restaurant2;restaurant;4;;;mesa_hora;miercoles;10:00;23:00;30/5/24;28/8/24;NO;
Santiago Centro;Av Alameda 900;Santiago;mesa8_restaurant2;restaurant;4;;;mesa_hora;martes;10:00;23:00;25/8/25;1/9/25;NO;
Santiago Centro;Av Alameda 900;Santiago;linea1_piscina1;piscina;1;30000;;linea_hora;jueves;20:00;21:00;19/11/25;26/11/25;NO;
Santiago Centro;Av Alameda 900;Santiago;linea2_piscina1;piscina;1;230000;21;linea_hora;martes;20:00;21:00;2024-11;19/12/24;SI;fecha
Santiago Centro;Av Alameda 900;Santiago;linea3_piscina1;piscina;1;20000;71;linea_hora;martes;10:00;11:00;2/11/25;9/11/25;NO;
Santiago Centro;Av Alameda 900;Santiago;linea4_piscina1;piscina;1;20000;80;linea_hora;miercoles;12:00;13:00;5/1/25;5/4/25;NO;
Santiago Centro;Av Alameda 900;Santiago;linea5_piscina1;piscina;1;190000;79;linea_hora;viernes;12:00;13:00;29/9/25;13/10/25;NO;
Santiago Centro;Av Alameda 900;Santiago;linea6_piscina1;piscina;1;10000;52;linea_hora;domingo;11:00;12:00;16/8/24;14/11/24;NO;
Santiago Centro;Av Alameda 900;Santiago;linea7_piscina1;piscina;1;200000;;linea_hora;jueves;18:00;19:00;4/10/24;11/10/24;NO;
Santiago Centro;Av Alameda 900;Santiago;linea8_piscina1;piscina;1;40000;;linea_hora;martes;20:00;21:00;15/8/25;22/8/25;NO;
Santiago Centro;Av Alameda 900;Santiago;linea1_piscina2;piscina;1;10000;18;linea_hora;lunes;8:00;9:00;7/5/25;6/6/25;NO;
Santiago Centro;Av Alameda 900;Santiago;linea2_piscina2;piscina;1;220000;39;linea_hora;sabado;17:00;18:00;26/10/24;24/1/25;NO;
Santiago Centro;Av Alameda 900;Santiago;linea3_piscina2;piscina;1;120000;;linea_hora;martes;13:00;14:00;22/4/24;29/4/24;NO;
Santiago Centro;Av Alameda 900;Santiago;linea4_piscina2;piscina;1;10000;27;linea_hora;jueves;12:00;13:00;9/5/24;8/7/24;NO;
Santiago Centro;Av Alameda 900;Santiago;linea5_piscina2;piscina;1;130000;;linea_hora;lunes;9:00;10:00;22/4/25;21/6/25;NO;
Santiago Centro;Av Alameda 900;Santiago;linea6_piscina2;piscina;1;160000;78;linea_hora;viernes;13:00;14:00;12/3/24;11/4/24;NO;
Santiago Centro;Av Alameda 900;Santiago;linea7_piscina2;piscina;1;190000;25;linea_hora;lunes;17:00;18:00;4/4/25;3/7/25;NO;
